epoch,accuracy,loss,val_accuracy,val_loss
1,0.44859811663627625,1.491355538368225,0.029411764815449715,1.1288615465164185
2,0.6822429895401001,0.910088300704956,0.029411764815449715,1.132590413093567
3,0.836448609828949,0.5071760416030884,0.029411764815449715,1.1170761585235596
4,0.855140209197998,0.49176231026649475,0.5,1.0997928380966187
5,0.8504672646522522,0.4823415279388428,0.5,1.0923967361450195
6,0.855140209197998,0.43152597546577454,0.5,1.079113483428955
7,0.8130841255187988,0.5948113203048706,0.5,1.066274642944336
8,0.84112149477005,0.4235064685344696,0.5,1.0518070459365845
9,0.8878504633903503,0.3767373859882355,0.5,1.0387499332427979
10,0.8691588640213013,0.5015390515327454,0.5,1.028422474861145
11,0.8738317489624023,0.39488086104393005,0.5,1.016556739807129
12,0.8878504633903503,0.3546731770038605,0.5,0.9986079931259155
13,0.8644859790802002,0.4336061179637909,0.5,0.9833471775054932
14,0.8504672646522522,0.435403972864151,0.5,0.9793238639831543
15,0.8738317489624023,0.46519312262535095,0.5,0.9696893095970154
16,0.8598130941390991,0.405480295419693,0.5,0.9611724615097046
17,0.8785046935081482,0.3746969699859619,0.5,0.9511801600456238
18,0.8878504633903503,0.3272332549095154,0.5,0.9398046135902405
19,0.855140209197998,0.3768819272518158,0.5,0.9304417371749878
20,0.8831775784492493,0.3152966797351837,0.5,0.9174463748931885
