epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8878504633903503,0.32873937487602234,0.5,0.9079933762550354,3.5000000934815034e-05
2,0.8878504633903503,0.344402015209198,0.5,0.9001043438911438,3.5000000934815034e-05
3,0.9158878326416016,0.23055657744407654,0.5,0.8929985761642456,3.5000000934815034e-05
4,0.8925233483314514,0.3134556710720062,0.5,0.8861775398254395,3.5000000934815034e-05
5,0.9112149477005005,0.23690541088581085,0.5,0.8801389336585999,3.5000000934815034e-05
6,0.9345794320106506,0.22609876096248627,0.5,0.8743444681167603,3.5000000934815034e-05
7,0.8878504633903503,0.354939341545105,0.5,0.869382381439209,3.5000000934815034e-05
8,0.8878504633903503,0.2724907696247101,0.5,0.8644174337387085,3.5000000934815034e-05
9,0.8971962332725525,0.3603162467479706,0.5,0.8572725653648376,3.5000000934815034e-05
10,0.9018691778182983,0.34153589606285095,0.5,0.847856879234314,3.5000000934815034e-05
11,0.9158878326416016,0.23303838074207306,0.5,0.8332551121711731,3.5000000934815034e-05
12,0.9345794320106506,0.2494124472141266,0.5,0.8147022128105164,3.5000000934815034e-05
13,0.8971962332725525,0.37822428345680237,0.5,0.7919134497642517,3.5000000934815034e-05
14,0.9065420627593994,0.2853686213493347,0.5,0.7646709680557251,3.5000000934815034e-05
15,0.9018691778182983,0.31553012132644653,0.529411792755127,0.727105975151062,3.5000000934815034e-05
16,0.9018691778182983,0.28436991572380066,0.529411792755127,0.6837904453277588,3.5000000934815034e-05
17,0.8691588640213013,0.3408052325248718,0.6764705777168274,0.6400262117385864,3.5000000934815034e-05
18,0.8971962332725525,0.2995626628398895,0.7352941036224365,0.5909378528594971,3.5000000934815034e-05
19,0.9252336621284485,0.24648800492286682,0.8529411554336548,0.5454508066177368,3.5000000934815034e-05
20,0.8878504633903503,0.3010021448135376,0.8823529481887817,0.5036281943321228,3.5000000934815034e-05
21,0.8878504633903503,0.31965914368629456,0.9117646813392639,0.4724414050579071,3.5000000934815034e-05
22,0.8971962332725525,0.2647150456905365,0.8823529481887817,0.4407445192337036,3.5000000934815034e-05
23,0.9205607771873474,0.2643522024154663,0.9117646813392639,0.4099520444869995,3.5000000934815034e-05
24,0.9112149477005005,0.2730546295642853,0.9117646813392639,0.388174831867218,3.5000000934815034e-05
25,0.9252336621284485,0.28450724482536316,0.9117646813392639,0.3666553795337677,3.5000000934815034e-05
